bin,alpha_left,alpha_right,x_left,x_right,event_cells,unweighted_positive_mass,prime_square_mass,mixed_center_mass,continuous_center_mass,psi_left_simpson,psi_right_simpson,weight_lower_analytic_only,weight_upper_analytic_only,weighted_midpoint,weighted_lower_analytic_only,weighted_upper_analytic_only
973,1.779693603515625,1.77972412109375,25616.32662538832,25620.78593544595,2,1.2261006170708657e-05,0.0006105614818038565,-0.0010551997900984469,0.00045689931446529937,6.542688559293555e-05,6.608977959371375e-05,6.523910643566741e-05,6.627755875098189e-05,8.062633217022656e-10,7.998970865792369e-10,8.126295568252945e-10
974,1.77972412109375,1.779754638671875,25620.78593544595,25625.246021783787,2,2.9042090112752593e-06,0.0005289378609913364,-0.0009830125038376909,0.0004569788518576296,6.608977959371375e-05,6.675810137151361e-05,6.59020004364456e-05,6.694588052878175e-05,1.9290900651401817e-10,1.913931835285914e-10,1.9442482949944488e-10
975,1.779754638671875,1.77978515625,25625.246021783787,25629.706884536878,1,2.2181857288942577e-06,0.0005229582917922231,-0.0009777985091503662,0.00045705840308703737,6.675810137151361e-05,6.743188377730554e-05,6.657032221424547e-05,6.761966293457368e-05,1.4882915500882152e-10,1.476653387035317e-10,1.4999297131411135e-10
976,1.77978515625,1.779815673828125,25629.706884536878,25634.168523840468,3,6.723178267645474e-06,0.0005624288629880803,-0.0010128436528940854,0.00045713796817365056,6.743188377730554e-05,6.81111597780367e-05,6.72441046200374e-05,6.829893893530483e-05,4.556400223809004e-10,4.5209410280871405e-10,4.591859419530868e-10
977,1.779815673828125,1.77984619140625,25634.168523840468,25638.630939829654,1,2.19772986961872e-06,0.0005228137014515465,-0.0009778335186841148,0.0004572175471021869,6.81111597780367e-05,6.879596245660397e-05,6.792338062076855e-05,6.89837416138721e-05,1.504424359493055e-10,1.4927724243574435e-10,1.516076294628666e-10
978,1.77984619140625,1.779876708984375,25638.630939829654,25643.094132639733,3,1.464837393460392e-06,0.00042006043769631174,-0.0008758927401959984,0.0004572971398931472,6.879596245660397e-05,6.948632501182527e-05,6.860818329933582e-05,6.96741041690934e-05,1.0128053276849725e-10,1.0049983239425189e-10,1.0206123314274262e-10
979,1.779876708984375,1.7799072265625,25643.094132639733,25647.558102405885,2,1.2862371619223581e-05,0.00031726295167398003,-0.0007617773265893602,0.0004573767465346037,6.948632501182527e-05,7.018228075840908e-05,6.929854585455712e-05,7.037005991567722e-05,8.982347554777946e-10,8.913436494531195e-10,9.051258615024696e-10
980,1.7799072265625,1.779937744140625,25647.558102405885,25652.022849263318,1,1.140116274767671e-06,0.00041292141473912365,-0.0008692376654938943,0.0004574563670295383,7.018228075840908e-05,7.088386312692228e-05,6.999450160114093e-05,7.107164228419042e-05,8.041590323119213e-11,7.98018704197126e-11,8.102993604267167e-11
981,1.779937744140625,1.77996826171875,25652.022849263318,25656.4883733474,2,1.3738578105066042e-06,0.00043757224153201857,-0.0008937343851158638,0.0004575360013943518,7.088386312692228e-05,7.159110566375647e-05,7.069608396965414e-05,7.177888482102461e-05,9.787017433737933e-11,9.712636713394007e-11,9.86139815408186e-11
982,1.77996826171875,1.779998779296875,25656.4883733474,25660.954674793345,2,1.268594046403637e-06,0.0004253716432969925,-0.0008817186988632326,0.00045761564961264365,7.159110566375647e-05,7.230404203109238e-05,7.140332650648833e-05,7.249182118836052e-05,9.127226383602866e-11,9.05818348995461e-11,9.196269277251119e-11
983,1.779998779296875,1.780029296875,25660.954674793345,25665.421753736562,2,2.026001846786443e-06,0.0005099431426707539,-0.0009656124525292549,0.0004576953117052873,7.230404203109238e-05,7.302270600686276e-05,7.211626287382424e-05,7.32104851641309e-05,1.4721612995618257e-10,1.461076817657045e-10,1.4832457814666068e-10
984,1.780029296875,1.780059814453125,25665.421753736562,25669.889610312355,2,1.508718503058065e-06,0.0004514201038633213,-0.0009076863730213636,0.0004577749876611004,7.302270600686276e-05,7.374713148471359e-05,7.283492684959462e-05,7.393491064198173e-05,1.1071718475718327e-10,1.0988740180686405e-10,1.1154696770750247e-10
985,1.780059814453125,1.78009033203125,25669.889610312355,25674.35824465605,3,2.304123172429801e-06,0.00040350485926181687,-0.0008590554135717068,0.00045785467748231965,7.374713148471359e-05,7.447735247396359e-05,7.355935232744545e-05,7.466513163123173e-05,1.7076373410531871e-10,1.6948980824659507e-10,1.7203765996404233e-10
986,1.78009033203125,1.780120849609375,25674.35824465605,25678.827656903133,2,1.4741873184379899e-06,0.0004473864937921672,-0.0009038466876590748,0.00045793438118534567,7.447735247396359e-05,7.521340309956203e-05,7.428957331669545e-05,7.540118225683017e-05,1.1033610677694617e-10,1.0951674687564171e-10,1.1115546667825061e-10
